LSOA_code,FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n
E01000178,5,4,10,100,7,10,6,10
E01000179,12,3,10,100,9,10,8,10
E01000180,7,3,10,100,8,10,7,10
E01000181,3,7,10,100,6,10,6,10
E01000182,5,7,10,100,7,10,8,10
E01000183,11,2,10,100,9,9,8,10
E01000184,7,3,10,100,8,10,8,10
E01000185,9,4,10,100,8,10,8,10
E01000186,8,4,10,100,8,10,7,10
E01000187,4,3,10,100,6,10,7,10
E01000188,9,3,10,100,8,10,7,10
E01000189,5,2,10,100,7,10,7,10
E01000190,8,4,10,100,8,10,7,10
E01000191,10,7,10,100,9,10,8,10
E01000192,4,8,10,100,7,10,6,10
E01000193,6,8,10,100,7,10,7,10
E01000194,4,9,10,100,7,10,6,10
E01000195,9,1,10,100,8,6,7,10
E01000196,5,7,10,100,7,10,7,10
E01000197,9,4,10,100,8,10,8,10
E01000198,12,4,10,100,9,10,8,10
E01000199,10,4,10,100,9,10,8,10
E01000200,10,6,10,100,8,10,8,10
E01000201,8,5,10,100,8,10,8,10
E01000202,11,5,10,100,9,10,8,10
E01000203,9,4,10,100,8,10,8,10
E01000204,4,8,10,100,6,10,6,10
E01000205,10,3,10,100,8,10,7,10
E01000206,13,2,10,100,10,10,9,10
E01000207,8,3,10,100,8,10,7,10
E01000208,9,4,10,100,8,10,7,10
E01000209,7,5,10,100,7,10,7,10
E01000210,5,3,10,100,7,10,7,10
E01000211,4,7,10,100,7,10,6,10
E01000212,8,7,10,100,8,10,7,10
E01000213,10,1,10,100,9,10,8,10
E01000214,9,6,10,100,8,10,8,10
E01000215,11,9,10,100,9,10,8,10
E01000216,7,7,10,100,7,10,7,10
E01000217,6,4,10,100,7,10,7,10
E01000218,8,8,10,100,8,10,7,10
E01000219,11,9,10,100,9,10,8,10
E01000220,9,6,10,100,8,10,7,10
E01000221,13,3,10,100,10,10,10,10
E01000222,13,3,10,100,9,10,8,10
E01000223,14,3,10,78,10,10,9,10
E01000224,13,4,10,100,10,10,8,10
E01000225,9,4,10,100,8,10,7,10
E01000226,8,9,10,100,8,10,7,10
E01000227,11,4,10,100,9,10,8,10
E01000228,14,1,10,77,10,5,10,10
E01000229,10,3,10,100,8,9,7,10
E01000230,7,2,10,100,7,10,7,10
E01000231,5,1,10,100,7,8,7,10
E01000232,12,3,10,100,9,10,8,10
E01000233,10,6,10,100,9,10,8,10
E01000234,9,4,10,100,8,10,7,10
E01000235,4,10,10,100,6,10,6,10
E01000236,9,6,10,100,8,10,8,10
E01000237,4,10,10,100,6,10,6,10
E01000238,7,5,10,100,8,10,8,10
E01000239,10,7,10,100,8,10,8,10
E01000240,13,2,10,100,9,10,8,10
E01000241,9,3,10,100,9,10,8,10
E01000242,8,5,10,100,8,10,8,10
E01000243,4,8,10,100,6,10,6,10
E01000244,4,8,10,100,7,10,6,10
E01000245,4,7,10,100,7,10,7,10
E01000246,13,5,10,80,10,10,8,10
E01000247,12,3,10,100,9,10,9,10
E01000248,4,7,10,100,6,7,6,10
E01000249,8,3,10,100,8,7,7,9
E01000250,5,7,10,100,7,8,7,10
E01000251,7,8,10,100,7,10,7,10
E01000252,8,7,10,100,9,10,8,10
E01000253,13,1,10,85,11,4,9,10
E01000254,8,5,10,100,8,7,7,10
E01000255,16,0,10,0,11,6,9,10
E01000256,10,2,10,82,8,9,8,10
E01000257,5,7,10,100,7,8,6,10
E01000258,5,4,10,100,7,7,7,10
E01000259,10,3,10,100,9,8,8,10
E01000260,10,2,10,100,8,8,8,10
E01000261,12,2,10,80,9,5,8,10
E01000262,13,2,10,86,10,7,8,10
E01000263,12,3,10,75,9,7,8,10
E01000264,6,3,10,100,7,10,7,10
E01000265,5,8,10,100,7,10,6,10
E01000266,7,6,10,100,8,10,7,10
E01000267,12,3,10,100,9,10,8,10
E01000268,5,8,10,100,7,10,6,10
E01000269,7,9,10,100,7,10,6,10
E01000270,9,8,10,100,9,10,7,10
E01000271,7,9,10,100,8,10,7,10
E01000272,10,4,10,100,8,10,7,10
E01000273,6,9,10,100,7,10,7,10
E01000274,4,8,10,100,6,10,6,10
E01000275,10,2,10,100,9,10,8,10
E01000276,9,2,9,75,8,9,7,10
E01000277,9,7,10,100,8,10,8,10
E01000278,5,2,10,100,7,10,6,10
E01000279,17,0,10,25,13,3,10,10
E01000280,14,2,10,75,9,9,8,10
E01000281,5,6,10,100,7,10,7,10
E01000282,9,5,10,82,8,10,7,10
E01000283,15,0,10,49,10,9,8,10
E01000284,7,6,10,100,8,10,7,10
E01000285,15,0,10,40,10,7,9,10
E01000286,13,1,10,100,9,5,8,10
E01000287,15,1,10,40,11,7,9,10
E01000288,8,7,10,100,8,10,7,10
E01000289,13,2,10,78,70,4,9,10
E01000290,15,1,10,62,11,4,9,10
E01000291,15,0,10,40,10,8,9,10
E01000292,10,5,10,100,8,7,8,10
E01000293,7,7,10,100,8,9,8,10
E01000294,8,4,10,79,8,7,7,10
E01000295,5,8,10,100,7,10,7,10
E01000296,7,7,10,100,8,10,7,10
E01000297,9,4,10,100,8,10,7,10
E01000298,6,9,10,100,7,10,7,10
E01000299,2,9,10,100,6,10,6,10
E01000300,6,7,10,100,7,10,7,10
E01000301,8,6,10,100,8,10,7,10
E01000302,5,9,10,100,7,10,6,10
E01000303,9,4,10,100,9,10,8,10
E01000304,9,7,10,100,9,10,8,10
E01000305,4,5,10,100,6,10,7,10
E01000306,5,7,10,100,7,10,7,10
E01000307,4,6,10,100,7,10,6,10
E01000308,5,7,10,100,7,10,7,10
E01000309,6,9,10,100,7,10,7,10
E01000310,6,8,10,100,7,10,8,10
E01000311,13,3,10,100,9,10,9,10
E01000312,10,3,10,100,8,10,8,10
E01000313,4,9,10,100,6,10,6,10
E01000314,3,9,10,100,6,10,6,10
E01000315,8,6,10,100,8,10,7,10
E01000316,5,5,10,100,7,10,7,10
E01000317,6,8,10,100,7,10,7,10
E01000318,6,8,10,100,7,10,7,10
E01000319,6,5,10,100,7,10,6,10
E01000320,8,6,10,100,9,10,8,10
E01000321,5,9,10,100,7,10,7,10
E01000322,7,7,10,100,7,10,7,10
E01000323,3,8,10,100,6,10,6,10
E01000324,6,6,10,100,7,10,7,10
E01000325,4,6,10,100,7,10,7,10
E01000326,8,4,10,100,8,10,7,10
E01000327,7,9,10,100,7,10,7,10
E01000328,8,5,10,100,8,10,7,10
E01000329,8,5,10,100,8,10,7,10
E01000330,7,9,10,100,8,10,7,10
E01000331,12,4,10,79,9,10,8,10
E01000332,6,6,10,100,7,10,6,10
E01000333,3,8,10,100,6,10,6,10
E01000334,8,5,10,100,8,10,7,10
E01000335,6,7,10,100,9,6,7,10
E01000336,7,6,10,100,7,10,7,10
E01000337,8,5,10,100,8,10,7,10
E01000338,5,7,10,100,7,10,7,10
E01000339,5,5,10,100,7,10,6,10
E01000340,10,4,10,100,8,10,7,10
E01000341,8,4,10,100,8,10,7,10
E01000342,7,5,10,100,7,10,7,10
E01000343,5,6,10,100,7,10,7,10
E01000344,5,6,10,100,7,10,6,10
E01000345,8,7,10,100,8,10,7,10
E01000346,7,6,10,100,8,10,7,10
E01000347,5,7,10,100,7,10,7,10
E01000348,8,6,10,100,8,10,7,10
E01000349,10,6,10,100,9,10,7,10
E01000350,5,6,10,100,8,10,7,10
E01000351,8,3,10,100,8,10,7,10
E01000352,4,7,10,100,7,10,7,10
E01000353,5,8,10,100,7,10,6,10
E01000354,8,9,10,100,8,10,7,10
E01000355,6,7,10,100,7,10,7,10
E01000356,5,9,10,100,7,10,6,10
E01000357,7,9,10,100,7,10,7,10
E01000358,5,9,10,100,7,10,6,10
E01000359,5,6,10,100,7,10,6,10
E01000360,4,9,10,100,7,10,7,10
E01000361,5,6,10,100,7,10,6,10
E01000362,6,7,10,100,8,10,7,10
E01000363,9,7,10,100,8,10,7,10
E01000364,12,3,10,80,10,10,8,10
E01000365,7,10,10,100,7,10,7,10
E01000366,4,10,10,100,7,10,6,10
E01000367,7,7,10,100,8,10,7,10
E01000368,8,5,10,100,8,10,7,10
E01000369,5,7,10,100,7,10,6,10
E01000370,5,8,10,100,7,10,6,10
E01000371,10,5,10,100,8,10,8,10
E01000372,8,6,10,100,8,10,7,10
E01000373,10,5,10,100,9,10,8,10
E01000374,12,2,10,100,9,10,8,10
E01000375,7,7,10,100,7,10,7,10
E01000376,7,5,10,100,7,10,7,10
E01000377,9,5,10,100,9,10,8,10
E01000378,6,6,10,100,7,10,7,10
E01000379,7,5,10,100,8,9,7,10
E01000380,6,4,10,100,7,10,7,10
