LSOA11CD,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodCyct,FoodCyc15n,FoodCart,FoodCar15n,PointsDens,0-18,19-34,35-49,50-64,65+,Cars: No cars or vans in household; measures: Value,Cars: 1 car or van in household; measures: Value,Cars: 2 cars or vans in household; measures: Value,Cars: 3 cars or vans in household; measures: Value,Cars: 4 or more cars or vans in household; measures: Value,WA_HubDist,WA_NUMPOINTS(500m),WA_NUMPOINTS(1km),WA_NUMPOINTS(2km),pop_den,employee/pop
E01001351,0,0,0,0,4,10,10,100,7,10,7,10,0,0.168089648,0.17022412,0.268943436,0.246531483,0.146211313,0.521578298,0.388409371,0.067817509,0.016029593,0.006165228,133.455,3,9,23,96.64775658,0.814834578
E01001352,0,0,0,1,2,9,10,100,6,10,6,10,0.625,0.160703076,0.20527307,0.260514752,0.263025738,0.110483365,0.329246935,0.467600701,0.161120841,0.033274956,0.008756567,145.418,2,6,22,99.5003123,0.373509102
E01001353,0,0,0,0,4,9,10,100,6,10,6,10,0,0.183828611,0.209398756,0.266758811,0.219765031,0.120248791,0.52367688,0.377437326,0.084958217,0.011142061,0.002785515,281.675,3,8,23,73.93970363,0.466482377
E01001354,0,0.5,0,0.5,2,10,10,100,6,10,6,10,0.74,0.176470588,0.212338594,0.220468675,0.237685318,0.153036824,0.370753323,0.423929099,0.168389956,0.031019202,0.005908419,134.001,2,9,23,77.32988166,0.381157341
E01001355,0,0,0,0,8,10,10,100,8,10,8,10,0,0.197422378,0.16168717,0.302870533,0.216168717,0.121851201,0.503947368,0.407894737,0.077631579,0.009210526,0.001315789,427.572,3,6,26,116.6780588,0.427650849
E01001356,0,0,0,0,6,9,10,100,7,10,7,10,0,0.290788013,0.162042175,0.175915649,0.258046615,0.113207547,0.642092747,0.309155767,0.043995244,0.001189061,0.003567182,312.839,4,7,23,215.0357995,0.259711432
E01001357,0,0,0,1,8,8,10,100,8,10,7,10,0.898,0.240779402,0.185107864,0.279749478,0.220598469,0.073764788,0.509389671,0.410798122,0.077464789,0.002347418,0,76.345,1,8,25,129.1105121,0.114126653
E01001358,0,0,0,0,5,8,10,100,7,10,7,10,0,0.265151515,0.188705234,0.252754821,0.196280992,0.097107438,0.581911263,0.349829352,0.059726962,0.008532423,0,299.12,2,8,24,56.04013894,1.358126722
E01001359,0,0,0,0,10,5,10,100,8,9,9,10,0,0.25285338,0.141352063,0.230904302,0.26119403,0.113696225,0.389679715,0.386120996,0.177935943,0.03024911,0.016014235,623.873,0,2,7,171.6654107,0.207199298
E01001360,0,0,0,0,6,4,10,100,7,8,7,10,0,0.173913043,0.159090909,0.204051383,0.298418972,0.164525692,0.376237624,0.372277228,0.172277228,0.065346535,0.013861386,307.208,1,2,5,144.0569395,0.101284585
E01001361,0,1,0,0,5,4,10,100,7,9,7,10,0.517,0.279344859,0.131483167,0.230209281,0.26433121,0.094631483,0.454347826,0.352173913,0.136956522,0.039130435,0.017391304,94.452,2,2,5,56.78119349,0.857597816
