objectid,lsoa11cd,lsoa11nm,Borough,All Ages,HubName,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
21328,E01004407,Waltham Forest 013A,Waltham Forest,2319 ,1010010114,376.4291682,4,6,21
21332,E01004404,Waltham Forest 014D,Waltham Forest,3296 ,1010010115,509.8386818,0,3,22
21334,E01004405,Waltham Forest 020B,Waltham Forest,1722 ,1010010885,392.6767495,5,8,26
21336,E01004402,Waltham Forest 009D,Waltham Forest,1874 ,1010010115,283.4396235,1,4,18
21338,E01004403,Waltham Forest 009E,Waltham Forest,2394 ,1010014475,206.0495653,1,3,18
21340,E01004400,Waltham Forest 009C,Waltham Forest,1839 ,1010010115,150.4899802,1,2,17
21342,E01004401,Waltham Forest 014C,Waltham Forest,2436 ,1010010115,339.9035448,1,3,20
21348,E01004408,Waltham Forest 016B,Waltham Forest,1613 ,1010004872,173.5608904,1,8,23
21350,E01004409,Waltham Forest 016C,Waltham Forest,1688 ,1010004874,349.6540843,4,9,24
21503,E01001787,Hackney 013B,Hackney,1629 ,1010015646,563.0495401,0,3,16
21504,E01001786,Hackney 013A,Hackney,2116 ,1010016223,701.3618239,0,3,20
21506,E01001785,Hackney 015B,Hackney,1573 ,1010016223,385.8088595,2,3,15
21518,E01001789,Hackney 015C,Hackney,1766 ,1010015646,304.7012471,2,5,18
21520,E01001788,Hackney 013C,Hackney,1568 ,1010016223,568.5689786,0,3,17
21622,E01004376,Waltham Forest 025E,Waltham Forest,2200 ,1010003472,255.2804229,3,4,17
21624,E01004377,Waltham Forest 010C,Waltham Forest,1841 ,1010004871,902.0048087,0,2,11
21766,E01033713,Hackney 010G,Hackney,1486 ,1010004885,237.387992,1,9,27
21767,E01033710,Hackney 028E,Hackney,1757 ,1010009216,210.4564104,1,2,21
21782,E01001722,Hackney 029A,Hackney,2452 ,1010004886,200.5962911,1,6,21
21785,E01001728,Hackney 029B,Hackney,2157 ,1010004886,323.0942016,1,5,15
21810,E01003672,Redbridge 007E,Redbridge,1756 ,1010005076,269.7885847,3,5,9
21811,E01003673,Redbridge 007F,Redbridge,1919 ,1010005076,524.0947902,0,4,12
21812,E01003670,Redbridge 007C,Redbridge,1518 ,1010005076,228.0559592,1,5,9
21863,E01002037,Haringey 002B,Haringey,2158 ,1010003086,674.0411565,0,4,13
21878,E01002039,Haringey 002C,Haringey,1665 ,1010003086,673.0296637,0,3,15
22243,E01004415,Waltham Forest 004D,Waltham Forest,1614 ,1010010884,619.5381438,0,3,11
22245,E01004412,Waltham Forest 015A,Waltham Forest,1748 ,1010016294,167.9342642,3,9,23
22247,E01004413,Waltham Forest 004C,Waltham Forest,1577 ,1010010028,561.6307305,0,1,9
22249,E01004410,Waltham Forest 013B,Waltham Forest,1923 ,1010016294,423.4923933,1,10,22
22251,E01004411,Waltham Forest 016D,Waltham Forest,1806 ,1010004874,189.9220668,4,10,24
