,time:Treat,"(0, '15,069 < 30,138 ft2 (1,400 < 2,800 m2)')","(0, '3,013 < 15,069 ft2 (280 < 1,400 m2)')","(0, '30,138 ft2 > (2,800 m2)')","(0, '< 3,013 ft2 (280m2)')",FoodPTt,FoodPT15n,FoodPT30n,FoodPT15pct,FoodPT30pct,FoodCyct,FoodCyc15n,FoodCyc30n,FoodCyc45n,FoodCyc60n,FoodCyc15pct,FoodCyc30pct,FoodCyc45pct,FoodCyc60pct,FoodCart,FoodCar15n,NUMPOINTS,PointsDens,NearestDist_mean,NearestDist_median,NUMPOINTS(500m)_mean,NUMPOINTS(500m)_median,NUMPOINT(1km)_mean,NUMPOINT(1km)_median,NUMPOINT(2km)_mean,NUMPOINT(2km)_median
NUMPOINTS,-0.10906816149349005,-0.302047663760081,-0.12041220859365213,-0.30429915421603126,0.48653005444480885,-0.28354333968706685,0.353052701071361,-0.3110253298752272,0.020184714268035055,0.049584476678047995,-0.1974774443823346,-0.036944377947517364,-0.2827017326468616,-0.2386252940131061,-0.2386252940131061,-0.12603177778302907,-0.23862529401310575,-0.23862529401310575,-0.23862529401310575,-0.2440610706030929,0.01921836593391441,1.0,0.40493048812227783,-0.2890803641214253,-0.29047127526154193,0.43570582626617593,0.40123164372131453,0.4100913488842355,0.3861151769617521,0.4051989464655291,0.3894560464513818
PointsDens,-0.44568608806777693,-0.2619214989541428,0.11794156284066896,-0.5621680848438952,0.4074001861108753,-0.9168600543482428,0.9474035312286201,0.35332721605259454,0.6853894213154285,0.18148580787785787,-0.8876329447768501,0.6048062130907398,0.14466217945997156,0.11370195192347715,0.11370195192347715,0.4124434445329052,0.11370195192347719,0.11370195192347719,0.11370195192347719,-0.8055719346240621,0.40080891366078425,0.40493048812227783,1.0,-0.9162789387537844,-0.8993225329817153,0.9784677115768323,0.9143341229890835,0.985967591206056,0.9682250561726473,0.9857755456857733,0.9691492763975574
NearestDist_mean,0.3283788654121776,0.2172213101405765,0.026740471762690544,0.5411817278382919,-0.5081908996247807,0.9249449213169276,-0.935291433511003,-0.4641289383969935,-0.769468401091973,-0.22566378036899817,0.9139734696719208,-0.7159123794758945,-0.1325254236571985,-0.09746586773596377,-0.09746586773596377,-0.47312441499520314,-0.09746586773596387,-0.09746586773596387,-0.09746586773596387,0.793693148838871,-0.4240252493923551,-0.2890803641214253,-0.9162789387537844,1.0,0.9874396995362584,-0.9315349905110428,-0.9139738475548284,-0.9228666109301863,-0.914542891204052,-0.9236110606102014,-0.9400329679477945
NearestDist_median,0.33486609609955453,0.2103592770821446,0.05900607882826315,0.5287694440594229,-0.5271994771187698,0.9120341689820359,-0.9186513980612169,-0.4254219410391038,-0.7460595462999698,-0.19869558795838613,0.9079024912149108,-0.7040852795671942,-0.148225093568826,-0.12289707221165333,-0.12289707221165333,-0.4617273827878065,-0.12289707221165345,-0.12289707221165345,-0.12289707221165345,0.7882921659788357,-0.427847410127836,-0.29047127526154193,-0.8993225329817153,0.9874396995362584,1.0,-0.9177352918451562,-0.9019466749220898,-0.9069488156039102,-0.8981993629955002,-0.9088984449138916,-0.926732166951928
NUMPOINTS(500m)_mean,-0.4493729376455636,-0.21278629396835017,0.05154434864606919,-0.5712122353787945,0.4503906906630075,-0.9195211535021701,0.9432606279793978,0.31979559678931363,0.6576991900960864,0.14452938255014203,-0.8869759708308129,0.574497748252769,0.12613461026956221,0.10265593493516775,0.10265593493516775,0.36906189126401634,0.10265593493516782,0.10265593493516782,0.10265593493516782,-0.8173341695386402,0.3731511847799348,0.43570582626617593,0.9784677115768323,-0.9315349905110428,-0.9177352918451562,1.0,0.9351876406356399,0.9956081674856156,0.9879364277751909,0.9849160109121085,0.9776366318397745
NUMPOINTS(500m)_median,-0.4667402640417859,-0.14450917100561064,-0.029800901452799924,-0.5444772394539634,0.47326443846230504,-0.8816405374933864,0.903109426054084,0.31029591177142596,0.6527043511722839,0.25111690801803277,-0.8512516613570381,0.594525443338924,0.06010937968023784,0.0515111606190837,0.0515111606190837,0.39761229112285956,0.05151116061908372,0.05151116061908372,0.05151116061908372,-0.7939395390201854,0.30140404795943404,0.40123164372131453,0.9143341229890835,-0.9139738475548284,-0.9019466749220898,0.9351876406356399,1.0,0.931096236164147,0.9231518161674104,0.9136164869775437,0.922005157191467
NUMPOINT(1km)_mean,-0.46687511311261237,-0.20408563774119562,0.08998201709649535,-0.5768572815516708,0.41231680655120784,-0.9180155469690532,0.9458813156513368,0.3158562434852965,0.6533300379632504,0.14741429918490556,-0.8875318112047489,0.5683751713492297,0.14175880010193126,0.11742892659752942,0.11742892659752942,0.37518000619907305,0.11742892659752953,0.11742892659752953,0.11742892659752953,-0.8138533566956963,0.3732136496024328,0.4100913488842355,0.985967591206056,-0.9228666109301863,-0.9069488156039102,0.9956081674856156,0.931096236164147,1.0,0.9871101026616199,0.9937838738535657,0.9788861516320776
NUMPOINT(1km)_median,-0.4402860655289199,-0.14337381481190448,0.07304432410092615,-0.5876492814941079,0.40240949360350964,-0.9069713632168613,0.9370022071213712,0.3189798697358005,0.6340049745810185,0.13192045800273366,-0.8732431099612039,0.5590758339979851,0.09994974862581968,0.07739333536160373,0.07739333536160373,0.33515433675768863,0.07739333536160378,0.07739333536160378,0.07739333536160378,-0.821500151606401,0.34921966538854166,0.3861151769617521,0.9682250561726473,-0.914542891204052,-0.8981993629955002,0.9879364277751909,0.9231518161674104,0.9871101026616199,1.0,0.9713239302137627,0.9776989095912455
NUMPOINT(2km)_mean,-0.46654299223040496,-0.23785820271994068,0.1215060470749752,-0.5682219194994547,0.3947543434225688,-0.9203039787158093,0.947830546307804,0.3239846974406499,0.6692657883044645,0.16246773628203728,-0.8899154306951655,0.5865521622928014,0.14726573301764467,0.12109359119373085,0.12109359119373085,0.39126791106222586,0.12109359119373102,0.12109359119373102,0.12109359119373102,-0.8067423885840466,0.380655666728883,0.4051989464655291,0.9857755456857733,-0.9236110606102014,-0.9088984449138916,0.9849160109121085,0.9136164869775437,0.9937838738535657,0.9713239302137627,1.0,0.9800017252038158
NUMPOINT(2km)_median,-0.4164261370947819,-0.20575629742312934,0.07448067671004867,-0.5482558091035853,0.409017225645867,-0.9298087143772856,0.9534556832311613,0.3386751154215764,0.6755246601692549,0.19193028167386234,-0.9003659788306899,0.5970045471044805,0.1439979815905087,0.11395074390335476,0.11395074390335476,0.405246949532843,0.11395074390335483,0.11395074390335483,0.11395074390335483,-0.8283935388838328,0.39958603994187486,0.3894560464513818,0.9691492763975574,-0.9400329679477945,-0.926732166951928,0.9776366318397745,0.922005157191467,0.9788861516320776,0.9776989095912455,0.9800017252038158,1.0
