LSOA11 Code,Area,id_count,PointDen,HubDist,NUMPOINTS(,NUMPOINT_1,NUMPOINT_2
E01001060,15.173 ,,,921.141 ,0 ,2 ,9 
E01001061,4.537 ,,,513.198 ,0 ,4 ,7 
E01001065,11.758 ,2 ,0.170 ,101.633 ,3 ,3 ,8 
E01001066,1.631 ,,,687.319 ,0 ,3 ,6 
E01001119,6.890 ,,,683.531 ,0 ,3 ,6 
E01001126,2.198 ,,,538.705 ,0 ,3 ,6 
E01001032,6.464 ,,,654.486 ,0 ,1 ,7 
E01001101,5.470 ,,,957.086 ,0 ,1 ,4 
E01001102,6.371 ,,,396.225 ,1 ,1 ,8 
E01001107,7.549 ,,,548.371 ,0 ,1 ,4 
E01001108,5.442 ,,,992.954 ,0 ,0 ,5 
E01001076,3.432 ,2 ,0.583 ,342.688 ,1 ,3 ,3 
E01001079,3.028 ,,,833.720 ,0 ,1 ,3 
E01001080,2.185 ,,,376.650 ,1 ,2 ,3 
E01001081,4.555 ,,,864.465 ,0 ,1 ,3 
E01001073,3.065 ,,,455.187 ,1 ,2 ,6 
E01001092,5.886 ,,,687.421 ,0 ,2 ,4 
E01001093,4.052 ,,,684.654 ,0 ,1 ,4 
E01001096,3.947 ,,,793.054 ,0 ,1 ,5 
E01001097,4.410 ,2 ,0.454 ,114.452 ,2 ,2 ,5 
E01001098,4.786 ,,,780.738 ,0 ,2 ,4 
E01001028,8.724 ,,,1167.915 ,0 ,0 ,6 
E01001029,4.999 ,,,539.414 ,0 ,2 ,6 
E01001030,4.191 ,,,883.945 ,0 ,1 ,6 
E01001031,4.016 ,,,394.361 ,3 ,4 ,4 
E01001094,11.695 ,,,1268.217 ,0 ,0 ,4 
E01001103,7.366 ,1 ,0.136 ,327.691 ,1 ,1 ,5 
E01001105,9.882 ,,,552.121 ,0 ,3 ,3 
E01001106,4.310 ,2 ,0.464 ,126.785 ,2 ,2 ,3 
E01001121,22.156 ,,,968.313 ,0 ,3 ,7 
E01001069,3.993 ,,,512.444 ,0 ,1 ,3 
E01001070,5.285 ,,,1205.357 ,0 ,0 ,4 
E01001075,4.468 ,1 ,0.224 ,450.833 ,1 ,1 ,3 
E01001099,2.120 ,,,801.035 ,0 ,3 ,3 
E01001015,4.008 ,,,939.891 ,0 ,2 ,4 
E01001016,10.478 ,,,577.765 ,0 ,3 ,4 
E01001023,5.718 ,3 ,0.525 ,238.540 ,3 ,3 ,5 
E01001067,6.846 ,,,1384.024 ,0 ,0 ,6 
E01001074,4.055 ,,,888.767 ,0 ,1 ,6 
E01001068,7.702 ,,,549.054 ,0 ,1 ,2 
E01001071,7.486 ,,,1501.221 ,0 ,0 ,4 
E01001072,21.701 ,,,1323.094 ,0 ,0 ,1 
E01001104,17.068 ,,,570.422 ,0 ,1 ,4 
E01001017,13.450 ,,,1307.566 ,0 ,0 ,4 
E01001024,2.787 ,,,314.913 ,1 ,4 ,4 
E01001025,2.282 ,,,456.521 ,1 ,1 ,4 
E01001026,2.771 ,,,504.696 ,0 ,1 ,4 
E01001027,14.457 ,1 ,0.069 ,486.752 ,1 ,1 ,4 
E01001018,9.509 ,,,2363.465 ,0 ,0 ,0 
E01001019,5.983 ,,,1405.513 ,0 ,0 ,4 
E01001020,3.602 ,,,2367.453 ,0 ,0 ,0 
E01001021,20.426 ,,,2587.183 ,0 ,0 ,0 
E01001022,9.975 ,,,2780.891 ,0 ,0 ,0 
E01001269,2.911 ,,,648.028 ,0 ,1 ,12 
E01001271,3.391 ,,,1000.453 ,0 ,0 ,13 
E01001309,3.341 ,,,916.168 ,0 ,4 ,12 
E01001310,2.376 ,1 ,0.421 ,296.403 ,2 ,3 ,13 
E01001311,3.212 ,,,679.634 ,0 ,1 ,12 
E01001307,5.725 ,,,622.734 ,0 ,3 ,10 
E01001308,11.114 ,,,488.440 ,1 ,1 ,11 
E01001312,2.050 ,1 ,0.488 ,225.480 ,1 ,2 ,10 
E01001313,1.729 ,,,764.425 ,0 ,3 ,9 
E01001314,2.932 ,,,803.775 ,0 ,2 ,6 
E01001315,1.644 ,,,557.559 ,0 ,2 ,13 
E01001316,1.820 ,,,300.587 ,2 ,2 ,11 
E01001317,3.376 ,,,855.756 ,0 ,2 ,13 
E01001318,2.545 ,,,661.579 ,0 ,4 ,10 
E01001320,4.580 ,,,696.608 ,0 ,3 ,14 
E01001321,3.315 ,,,387.494 ,2 ,3 ,14 
E01001270,2.815 ,,,927.671 ,0 ,2 ,12 
E01001319,1.399 ,,,784.931 ,0 ,3 ,13 
E01001322,5.452 ,,,274.441 ,1 ,2 ,13 
E01001323,3.385 ,2 ,0.591 ,118.610 ,2 ,3 ,14 
E01001341,2.292 ,,,811.030 ,0 ,2 ,11 
E01001342,1.899 ,,,554.117 ,0 ,1 ,9 
E01001343,2.883 ,,,920.930 ,0 ,1 ,11 
E01001345,1.811 ,,,393.675 ,1 ,3 ,8 
E01001265,5.009 ,,,642.943 ,0 ,2 ,14 
E01001266,7.331 ,2 ,0.273 ,444.764 ,4 ,4 ,9 
E01001267,3.839 ,1 ,0.260 ,158.320 ,1 ,5 ,10 
E01001272,5.477 ,1 ,0.183 ,156.499 ,1 ,4 ,13 
E01001349,6.804 ,,,419.403 ,1 ,5 ,9 
E01001344,4.831 ,,,707.796 ,0 ,1 ,10 
E01001346,2.298 ,,,665.658 ,0 ,3 ,11 
E01001347,6.724 ,1 ,0.149 ,202.792 ,1 ,3 ,7 
E01001348,4.114 ,,,1006.255 ,0 ,1 ,12 
E01001257,1.648 ,,,417.585 ,2 ,4 ,12 
E01001324,3.164 ,,,359.915 ,1 ,5 ,10 
E01001326,7.401 ,1 ,0.135 ,387.776 ,1 ,6 ,12 
E01001330,2.969 ,,,394.751 ,1 ,5 ,10 
E01001332,1.372 ,,,780.625 ,0 ,7 ,10 
E01001325,9.515 ,,,839.471 ,0 ,1 ,8 
E01001327,2.782 ,2 ,0.719 ,232.494 ,4 ,4 ,10 
E01001328,3.834 ,2 ,0.522 ,97.741 ,4 ,5 ,10 
E01001329,3.019 ,,,310.838 ,2 ,4 ,11 
E01001331,1.424 ,,,263.531 ,3 ,4 ,11 
E01001258,2.123 ,,,440.047 ,1 ,4 ,15 
E01001262,2.595 ,,,470.847 ,1 ,2 ,15 
E01001263,3.281 ,,,528.921 ,0 ,4 ,15 
E01001264,3.036 ,,,905.550 ,0 ,5 ,12 
E01032743,0.958 ,,,402.690 ,1 ,3 ,13 
E01032744,1.988 ,2 ,1.006 ,44.795 ,2 ,2 ,14 
E01001276,3.605 ,,,906.367 ,0 ,2 ,5 
E01001277,5.427 ,,,478.802 ,1 ,1 ,11 
E01001278,4.525 ,,,1014.429 ,0 ,1 ,15 
E01001280,3.711 ,,,1035.484 ,0 ,0 ,15 
E01001218,2.763 ,,,1105.865 ,0 ,0 ,10 
E01001260,2.681 ,,,412.653 ,3 ,4 ,10 
E01001261,4.297 ,3 ,0.698 ,181.705 ,3 ,3 ,10 
E01001268,3.042 ,,,665.103 ,0 ,4 ,13 
E01001209,2.767 ,2 ,0.723 ,102.877 ,2 ,3 ,16 
E01001211,1.802 ,,,275.478 ,2 ,2 ,18 
E01001279,2.531 ,,,870.260 ,0 ,3 ,13 
E01001281,2.878 ,,,408.168 ,1 ,2 ,15 
E01001217,1.869 ,,,958.065 ,0 ,1 ,10 
E01001259,2.609 ,,,535.718 ,0 ,5 ,11 
E01001291,1.657 ,,,586.791 ,0 ,4 ,12 
E01001292,1.864 ,,,511.771 ,0 ,3 ,9 
E01001293,1.458 ,,,776.456 ,0 ,3 ,11 
E01001196,2.292 ,1 ,0.436 ,243.161 ,3 ,6 ,17 
E01001238,4.115 ,2 ,0.486 ,391.385 ,2 ,5 ,14 
E01001239,4.152 ,,,389.873 ,2 ,3 ,14 
E01001246,10.054 ,,,870.684 ,0 ,3 ,11 
E01001247,11.351 ,2 ,0.176 ,463.805 ,2 ,7 ,14 
E01001210,2.263 ,,,845.144 ,0 ,1 ,13 
E01001282,1.501 ,,,421.214 ,1 ,1 ,15 
E01001283,2.607 ,,,199.837 ,1 ,3 ,15 
E01001285,2.132 ,1 ,0.469 ,208.804 ,1 ,1 ,14 
E01001286,2.136 ,,,652.453 ,0 ,1 ,14 
E01001287,0.922 ,,,414.455 ,1 ,2 ,10 
E01001294,2.970 ,,,769.198 ,0 ,3 ,12 
E01001295,1.600 ,,,920.872 ,0 ,2 ,9 
E01001296,1.582 ,,,1114.276 ,0 ,0 ,8 
E01001297,2.504 ,,,986.203 ,0 ,2 ,7 
E01001298,1.754 ,,,773.018 ,0 ,1 ,8 
E01001204,1.684 ,,,849.774 ,0 ,2 ,19 
E01001205,2.462 ,,,617.205 ,0 ,6 ,18 
E01001206,1.498 ,,,669.823 ,0 ,1 ,15 
E01001207,1.596 ,,,248.164 ,2 ,6 ,19 
E01001208,5.390 ,,,457.456 ,1 ,3 ,17 
E01001212,2.855 ,,,333.421 ,2 ,2 ,17 
E01001222,1.892 ,2 ,1.057 ,157.546 ,4 ,9 ,22 
E01001224,2.392 ,,,706.858 ,0 ,5 ,18 
E01001226,2.292 ,,,783.668 ,0 ,8 ,20 
E01001227,1.729 ,,,640.945 ,0 ,9 ,21 
E01001228,2.659 ,,,480.803 ,1 ,10 ,21 
E01001221,3.027 ,5 ,1.652 ,42.678 ,6 ,8 ,24 
E01001223,2.233 ,,,537.617 ,0 ,6 ,18 
E01001225,2.343 ,1 ,0.427 ,220.357 ,3 ,7 ,20 
E01001235,2.745 ,,,414.616 ,2 ,8 ,27 
E01001236,1.401 ,,,234.441 ,5 ,9 ,24 
E01001273,3.890 ,1 ,0.257 ,462.278 ,1 ,1 ,22 
E01001274,2.681 ,,,848.878 ,0 ,2 ,21 
E01001275,3.491 ,,,299.955 ,1 ,8 ,24 
E01001195,4.143 ,,,669.129 ,0 ,4 ,16 
E01001197,4.031 ,,,472.874 ,1 ,9 ,23 
E01001198,1.094 ,1 ,0.914 ,171.770 ,3 ,7 ,18 
E01001199,1.058 ,1 ,0.945 ,177.495 ,3 ,8 ,19 
E01001284,4.728 ,,,307.607 ,1 ,4 ,10 
E01001288,1.729 ,,,694.108 ,0 ,2 ,12 
E01001289,1.254 ,,,702.811 ,0 ,5 ,13 
E01001290,5.069 ,,,634.128 ,0 ,1 ,12 
E01001213,1.510 ,,,647.352 ,0 ,2 ,6 
E01001214,2.327 ,,,652.614 ,0 ,2 ,9 
E01001215,1.739 ,,,304.334 ,2 ,2 ,4 
E01001216,1.417 ,,,441.756 ,1 ,2 ,4 
E01001361,3.871 ,2 ,0.517 ,94.452 ,2 ,2 ,5 
E01001240,1.963 ,,,315.161 ,1 ,3 ,18 
E01001241,3.534 ,,,426.475 ,1 ,4 ,21 
E01001242,2.085 ,,,636.181 ,0 ,7 ,21 
E01001243,2.219 ,,,420.944 ,1 ,6 ,28 
E01001244,2.137 ,,,306.476 ,1 ,5 ,32 
E01001245,1.108 ,1 ,0.903 ,68.359 ,3 ,7 ,37 
E01001200,1.353 ,,,272.693 ,1 ,6 ,24 
E01001201,1.226 ,,,346.832 ,4 ,7 ,22 
E01001202,1.634 ,2 ,1.224 ,127.808 ,3 ,9 ,21 
E01001203,0.922 ,1 ,1.085 ,58.798 ,3 ,8 ,29 
E01001351,1.939 ,,,133.455 ,3 ,9 ,23 
E01001359,1.327 ,,,623.873 ,0 ,2 ,7 
E01001360,1.405 ,,,307.208 ,1 ,2 ,5 
E01001362,2.441 ,,,470.691 ,1 ,3 ,8 
E01001363,1.353 ,,,879.105 ,0 ,1 ,7 
E01001364,1.187 ,,,819.335 ,0 ,2 ,7 
E01001365,4.639 ,,,1069.408 ,0 ,1 ,9 
E01001231,4.019 ,1 ,0.249 ,287.304 ,2 ,5 ,26 
E01001234,3.059 ,,,304.650 ,2 ,7 ,23 
E01001350,2.984 ,,,454.505 ,1 ,5 ,23 
E01001352,1.601 ,1 ,0.625 ,145.418 ,2 ,6 ,22 
E01001354,2.704 ,2 ,0.740 ,134.001 ,2 ,9 ,23 
E01001249,1.556 ,2 ,1.285 ,115.903 ,5 ,7 ,21 
E01001250,2.473 ,,,308.076 ,3 ,7 ,19 
E01001255,1.774 ,,,592.605 ,0 ,6 ,13 
E01001383,1.157 ,,,334.156 ,3 ,9 ,18 
E01001388,1.781 ,,,200.271 ,6 ,7 ,20 
E01001389,1.395 ,2 ,1.434 ,142.528 ,3 ,8 ,20 
E01001219,1.651 ,,,1281.482 ,0 ,0 ,9 
E01001220,9.309 ,,,1271.621 ,0 ,0 ,9 
E01001334,1.589 ,,,1026.352 ,0 ,1 ,5 
E01001337,12.177 ,,,1029.695 ,0 ,0 ,7 
E01001338,5.470 ,,,620.379 ,0 ,2 ,4 
E01001339,7.262 ,,,1069.632 ,0 ,0 ,5 
E01001340,1.217 ,,,1177.037 ,0 ,0 ,4 
E01001251,1.868 ,,,284.318 ,1 ,2 ,10 
E01001252,1.937 ,1 ,0.516 ,35.016 ,1 ,4 ,11 
E01001253,1.633 ,,,459.262 ,1 ,2 ,10 
E01001254,2.097 ,,,444.263 ,1 ,1 ,11 
E01001229,2.038 ,,,486.212 ,2 ,3 ,27 
E01001230,1.913 ,,,536.036 ,0 ,7 ,24 
E01001232,2.158 ,,,795.403 ,0 ,5 ,24 
E01001233,1.706 ,2 ,1.172 ,135.896 ,2 ,4 ,26 
E01001237,2.360 ,,,524.429 ,0 ,8 ,25 
E01001386,3.084 ,,,379.368 ,1 ,10 ,24 
E01001303,1.607 ,1 ,0.622 ,265.964 ,3 ,4 ,23 
E01001382,2.039 ,,,237.366 ,1 ,10 ,21 
E01001384,1.089 ,1 ,0.918 ,260.304 ,1 ,9 ,19 
E01001385,1.602 ,,,156.796 ,2 ,7 ,20 
E01001387,2.513 ,,,357.426 ,2 ,13 ,22 
E01001353,1.957 ,,,281.675 ,3 ,8 ,23 
E01001355,1.463 ,,,427.572 ,3 ,6 ,26 
E01001356,0.838 ,,,312.839 ,4 ,7 ,23 
E01001357,1.113 ,1 ,0.898 ,76.345 ,1 ,8 ,25 
E01001358,2.591 ,,,299.120 ,2 ,8 ,24 
E01001375,1.385 ,,,729.379 ,0 ,5 ,31 
E01001377,1.906 ,,,563.076 ,1 ,7 ,28 
E01001379,1.332 ,,,403.315 ,1 ,8 ,30 
E01001381,2.852 ,,,434.431 ,1 ,4 ,31 
E01001248,6.664 ,,,726.021 ,0 ,3 ,14 
E01001299,2.281 ,1 ,0.438 ,283.004 ,1 ,3 ,16 
E01001305,1.507 ,,,654.317 ,0 ,7 ,18 
E01001306,1.536 ,,,339.863 ,2 ,6 ,20 
E01001366,1.704 ,,,712.986 ,0 ,2 ,12 
E01001367,2.033 ,1 ,0.492 ,112.022 ,1 ,2 ,8 
E01001368,1.287 ,,,638.136 ,0 ,2 ,12 
E01001370,4.484 ,,,551.917 ,0 ,3 ,12 
E01001371,2.025 ,,,458.061 ,1 ,2 ,8 
E01001372,1.286 ,,,363.924 ,1 ,2 ,8 
E01001373,1.534 ,,,380.676 ,1 ,2 ,9 
E01001333,2.782 ,,,448.696 ,1 ,3 ,6 
E01001335,4.909 ,,,972.359 ,0 ,1 ,6 
E01001336,2.534 ,,,719.760 ,0 ,3 ,8 
E01001369,1.501 ,,,296.881 ,1 ,2 ,8 
E01001300,1.376 ,,,330.613 ,3 ,4 ,21 
E01001301,2.512 ,,,285.848 ,1 ,4 ,22 
E01001302,3.369 ,,,481.021 ,1 ,7 ,19 
E01001304,1.157 ,,,674.108 ,0 ,5 ,12 
E01001444,3.472 ,,,409.626 ,1 ,2 ,5 
E01001446,1.807 ,,,711.280 ,1 ,2 ,6 
E01001546,2.386 ,,,500.227 ,0 ,3 ,5 
E01001552,2.805 ,1 ,0.357 ,174.401 ,1 ,3 ,5 
E01001442,1.151 ,,,258.645 ,1 ,2 ,7 
E01001545,3.451 ,,,522.112 ,0 ,2 ,4 
E01001547,2.487 ,1 ,0.402 ,167.109 ,1 ,2 ,7 
E01001548,2.997 ,,,531.604 ,0 ,3 ,6 
E01001551,3.062 ,1 ,0.327 ,113.847 ,1 ,2 ,4 
E01001445,14.143 ,,,469.535 ,1 ,1 ,6 
E01001447,1.861 ,,,889.366 ,0 ,2 ,6 
E01001448,1.575 ,,,558.127 ,0 ,2 ,8 
E01001449,2.355 ,,,750.226 ,0 ,1 ,8 
E01033148,4.505 ,,,345.726 ,1 ,1 ,4 
E01033150,1.643 ,1 ,0.609 ,136.885 ,1 ,1 ,6 
E01001408,1.456 ,1 ,0.687 ,156.750 ,3 ,4 ,11 
E01001411,1.859 ,2 ,1.076 ,82.489 ,3 ,4 ,13 
E01001412,143.280 ,,,1068.897 ,0 ,0 ,5 
E01001413,5.107 ,,,505.186 ,0 ,4 ,10 
E01001414,3.944 ,,,300.868 ,2 ,4 ,11 
E01001407,10.318 ,,,1479.278 ,0 ,0 ,10 
E01001409,1.887 ,,,926.778 ,0 ,2 ,16 
E01001410,1.592 ,,,1219.331 ,0 ,0 ,12 
E01001516,3.281 ,,,760.957 ,0 ,3 ,12 
E01001537,1.900 ,,,773.754 ,0 ,2 ,14 
E01001439,2.099 ,1 ,0.476 ,251.670 ,1 ,4 ,12 
E01001441,3.328 ,1 ,0.300 ,185.323 ,1 ,2 ,11 
E01001517,1.815 ,,,463.269 ,1 ,4 ,10 
E01001549,3.205 ,,,258.966 ,1 ,2 ,9 
E01001550,2.176 ,,,560.685 ,0 ,2 ,10 
E01001433,3.344 ,,,667.855 ,0 ,2 ,9 
E01001434,1.765 ,,,609.320 ,0 ,3 ,10 
E01001435,1.575 ,,,386.096 ,1 ,3 ,10 
E01001436,1.955 ,,,465.162 ,1 ,3 ,12 
E01001438,2.767 ,1 ,0.361 ,284.060 ,1 ,3 ,12 
E01001469,2.251 ,,,299.549 ,1 ,2 ,11 
E01001536,4.333 ,,,531.271 ,1 ,11 ,12 
E01001540,2.588 ,1 ,0.386 ,317.344 ,2 ,6 ,12 
E01001541,1.816 ,,,418.501 ,3 ,8 ,14 
E01001542,1.843 ,,,509.569 ,0 ,8 ,16 
E01001538,2.547 ,,,821.711 ,0 ,2 ,18 
E01001539,2.192 ,,,423.010 ,1 ,3 ,17 
E01001543,2.081 ,,,829.057 ,0 ,2 ,20 
E01001544,3.032 ,,,443.962 ,1 ,5 ,18 
E01001457,2.653 ,1 ,0.377 ,210.090 ,2 ,6 ,14 
E01001468,7.839 ,,,883.315 ,0 ,1 ,6 
E01001471,3.650 ,,,674.703 ,0 ,3 ,12 
E01001472,2.507 ,1 ,0.399 ,338.241 ,2 ,7 ,13 
E01001474,3.858 ,,,479.837 ,1 ,2 ,13 
E01001415,10.828 ,3 ,0.277 ,44.487 ,3 ,3 ,10 
E01001417,57.013 ,,,1893.063 ,0 ,0 ,1 
E01001418,6.200 ,,,634.027 ,0 ,4 ,12 
E01001422,14.634 ,,,1745.064 ,0 ,0 ,1 
E01001440,3.146 ,,,361.451 ,1 ,5 ,14 
E01001504,1.815 ,,,529.841 ,0 ,3 ,12 
E01001505,1.945 ,,,229.653 ,1 ,8 ,13 
E01001507,2.679 ,1 ,0.373 ,268.854 ,1 ,3 ,12 
E01001508,2.075 ,,,407.050 ,1 ,5 ,11 
E01001513,9.502 ,3 ,0.316 ,309.817 ,3 ,4 ,14 
E01001416,3.244 ,,,570.446 ,0 ,2 ,7 
E01001470,18.966 ,,,1034.665 ,0 ,0 ,10 
E01001473,8.426 ,,,445.083 ,1 ,1 ,5 
E01001475,3.376 ,,,584.011 ,0 ,2 ,7 
E01001437,26.411 ,1 ,0.038 ,533.783 ,0 ,3 ,11 
E01001506,19.462 ,,,1197.131 ,0 ,3 ,10 
E01001509,1.458 ,,,631.119 ,0 ,3 ,11 
E01001510,1.504 ,,,638.309 ,0 ,3 ,10 
E01001405,2.756 ,,,455.150 ,2 ,6 ,17 
E01001406,2.041 ,2 ,0.980 ,120.707 ,2 ,4 ,16 
E01001450,3.576 ,4 ,1.119 ,265.093 ,5 ,7 ,19 
E01001512,1.905 ,1 ,0.525 ,302.302 ,1 ,9 ,18 
E01001515,1.295 ,,,284.391 ,2 ,4 ,16 
E01001401,1.475 ,,,284.288 ,2 ,3 ,17 
E01001478,3.180 ,,,556.670 ,0 ,2 ,15 
E01001484,3.294 ,,,649.714 ,0 ,4 ,14 
E01001511,3.886 ,1 ,0.257 ,265.208 ,1 ,6 ,16 
E01001514,1.368 ,,,352.809 ,2 ,5 ,18 
E01001518,5.587 ,,,471.608 ,1 ,11 ,20 
E01001451,6.198 ,1 ,0.161 ,214.419 ,1 ,7 ,18 
E01001452,6.385 ,,,590.751 ,0 ,3 ,14 
E01001453,5.137 ,,,469.270 ,1 ,1 ,13 
E01001454,3.869 ,,,838.531 ,0 ,2 ,12 
E01001476,2.024 ,,,323.705 ,2 ,2 ,11 
E01001477,6.752 ,,,534.546 ,0 ,2 ,9 
E01001481,1.718 ,,,823.664 ,0 ,2 ,8 
E01001502,2.807 ,2 ,0.713 ,166.876 ,2 ,3 ,12 
E01001503,1.704 ,,,404.936 ,2 ,4 ,11 
E01001520,3.526 ,,,165.988 ,3 ,3 ,7 
E01001522,2.051 ,1 ,0.488 ,213.702 ,1 ,1 ,8 
E01001523,5.206 ,,,544.255 ,0 ,1 ,9 
E01001524,2.576 ,,,652.901 ,0 ,3 ,8 
E01001526,2.842 ,,,702.602 ,0 ,2 ,9 
E01001419,6.658 ,1 ,0.150 ,313.572 ,1 ,1 ,9 
E01001420,3.557 ,,,909.760 ,0 ,2 ,11 
E01001421,1.936 ,,,664.503 ,0 ,3 ,9 
E01001519,3.525 ,3 ,0.851 ,89.583 ,3 ,3 ,8 
E01001525,2.343 ,,,402.897 ,1 ,3 ,8 
E01001398,1.747 ,,,383.992 ,1 ,3 ,17 
E01001399,2.427 ,,,779.669 ,0 ,2 ,16 
E01001400,2.437 ,,,951.269 ,0 ,2 ,13 
E01001402,3.509 ,1 ,0.285 ,438.228 ,2 ,3 ,10 
E01001403,3.702 ,,,859.124 ,0 ,2 ,9 
E01001455,2.381 ,,,760.663 ,0 ,3 ,14 
E01001456,2.663 ,1 ,0.376 ,263.230 ,2 ,3 ,13 
E01001564,2.313 ,,,182.176 ,1 ,3 ,8 
E01001567,3.099 ,,,979.802 ,0 ,3 ,9 
E01001568,8.982 ,,,1050.760 ,0 ,1 ,10 
E01001569,2.944 ,,,442.282 ,3 ,3 ,9 
E01001479,2.446 ,,,1004.404 ,0 ,2 ,10 
E01001482,1.765 ,,,888.301 ,0 ,2 ,9 
E01001487,1.295 ,,,645.172 ,0 ,2 ,9 
E01001489,1.782 ,,,635.020 ,0 ,2 ,7 
E01001491,1.482 ,,,449.360 ,1 ,3 ,9 
E01001459,2.166 ,,,931.518 ,0 ,2 ,12 
E01001460,1.226 ,,,427.199 ,1 ,3 ,10 
E01001462,1.091 ,,,741.468 ,0 ,3 ,9 
E01001480,1.972 ,,,952.219 ,0 ,2 ,10 
E01001488,1.315 ,,,745.357 ,0 ,3 ,9 
E01001483,5.593 ,,,1253.801 ,0 ,0 ,5 
E01001485,1.262 ,,,143.330 ,2 ,3 ,11 
E01001486,1.806 ,,,491.795 ,1 ,3 ,7 
E01001492,1.535 ,,,422.053 ,1 ,3 ,8 
E01033146,1.384 ,,,782.312 ,0 ,1 ,8 
E01033151,6.650 ,,,784.409 ,0 ,1 ,5 
E01001404,5.169 ,,,879.284 ,0 ,2 ,8 
E01001493,2.329 ,,,574.810 ,0 ,2 ,6 
E01001494,1.622 ,,,982.581 ,0 ,1 ,7 
E01001496,2.617 ,,,1015.499 ,0 ,3 ,8 
E01001570,4.066 ,1 ,0.246 ,460.531 ,2 ,3 ,6 
E01001423,1.916 ,,,538.020 ,0 ,3 ,7 
E01001425,4.022 ,,,459.191 ,1 ,5 ,8 
E01001428,1.575 ,,,849.474 ,0 ,4 ,8 
E01001461,2.893 ,,,951.454 ,0 ,1 ,10 
E01001464,2.017 ,,,1111.466 ,0 ,1 ,9 
E01001521,4.840 ,,,600.678 ,0 ,3 ,11 
E01001531,2.280 ,,,1019.059 ,0 ,1 ,11 
E01001532,2.887 ,,,920.825 ,0 ,2 ,13 
E01001533,3.275 ,,,831.533 ,0 ,1 ,13 
E01001535,3.925 ,,,1238.734 ,0 ,2 ,11 
E01001495,1.541 ,,,292.730 ,1 ,4 ,8 
E01001498,1.906 ,2 ,1.049 ,122.602 ,3 ,3 ,8 
E01001563,1.946 ,,,539.051 ,0 ,3 ,8 
E01001565,2.231 ,,,540.620 ,0 ,4 ,10 
E01001566,1.986 ,,,429.429 ,3 ,3 ,11 
E01001424,0.718 ,,,289.707 ,2 ,3 ,7 
E01001426,3.082 ,,,391.387 ,1 ,5 ,8 
E01001427,13.471 ,,,693.204 ,0 ,4 ,10 
E01001429,2.434 ,3 ,1.233 ,112.868 ,3 ,3 ,7 
E01001430,1.168 ,,,354.600 ,1 ,5 ,8 
E01001463,2.618 ,,,1342.986 ,0 ,0 ,11 
E01001465,2.283 ,,,1603.229 ,0 ,0 ,14 
E01001466,0.988 ,,,769.514 ,0 ,2 ,8 
E01001467,1.054 ,,,985.740 ,0 ,1 ,10 
E01001497,2.032 ,,,1403.622 ,0 ,0 ,12 
E01001499,2.084 ,,,1207.384 ,0 ,1 ,8 
E01001392,1.602 ,,,544.252 ,0 ,3 ,10 
E01001528,2.086 ,,,330.022 ,3 ,4 ,10 
E01001529,1.665 ,,,227.507 ,3 ,4 ,10 
E01001530,2.086 ,,,561.592 ,0 ,3 ,10 
E01001534,4.034 ,1 ,0.248 ,233.415 ,2 ,4 ,15 
E01001431,1.358 ,,,677.138 ,0 ,6 ,9 
E01001432,1.533 ,,,344.327 ,2 ,4 ,9 
E01001555,1.399 ,,,277.334 ,3 ,4 ,12 
E01001557,1.287 ,,,555.665 ,0 ,5 ,13 
E01001558,1.488 ,2 ,1.344 ,83.434 ,3 ,4 ,10 
E01001559,9.220 ,1 ,0.108 ,483.902 ,1 ,4 ,11 
E01001394,1.725 ,,,633.649 ,0 ,4 ,12 
E01001395,2.398 ,,,676.403 ,0 ,2 ,11 
E01001397,2.989 ,,,856.111 ,0 ,4 ,9 
E01001500,2.246 ,,,511.537 ,1 ,3 ,8 
E01001556,2.170 ,,,648.480 ,0 ,1 ,12 
E01001560,2.642 ,,,882.384 ,0 ,1 ,12 
E01001390,1.536 ,,,618.045 ,0 ,3 ,12 
E01001391,1.324 ,,,451.417 ,1 ,4 ,13 
E01001393,1.795 ,,,649.780 ,0 ,3 ,13 
E01001396,1.479 ,,,325.257 ,1 ,3 ,14 
E01001501,3.034 ,1 ,0.330 ,259.878 ,2 ,4 ,10 
E01001527,3.934 ,,,509.334 ,0 ,3 ,9 
E01001690,1.364 ,,,1102.248 ,0 ,3 ,6 
E01001692,0.743 ,,,535.142 ,0 ,3 ,7 
E01001693,1.363 ,,,799.848 ,0 ,4 ,7 
E01001694,3.836 ,,,676.788 ,0 ,4 ,7 
E01001687,4.155 ,,,460.880 ,1 ,1 ,17 
E01001688,3.548 ,2 ,0.564 ,645.747 ,0 ,3 ,6 
E01033739,1.175 ,,,435.259 ,1 ,2 ,14 
E01033740,1.654 ,,,291.416 ,1 ,2 ,14 
E01033741,5.702 ,1 ,0.175 ,186.599 ,1 ,1 ,13 
E01033743,10.011 ,1 ,0.100 ,544.161 ,0 ,4 ,11 
E01033745,5.640 ,,,512.622 ,0 ,3 ,9 
E01001575,2.188 ,1 ,0.457 ,222.705 ,1 ,2 ,7 
E01001576,2.387 ,,,956.317 ,0 ,3 ,9 
E01001577,2.111 ,,,398.875 ,2 ,3 ,9 
E01001578,2.717 ,1 ,0.368 ,314.122 ,2 ,3 ,7 
E01001579,2.526 ,,,692.380 ,0 ,1 ,9 
E01001709,7.726 ,1 ,0.129 ,538.975 ,0 ,3 ,16 
