LSOA11CD,Employee
E01000358,383
E01000359,170
E01000360,3839
E01000361,348
E01000362,2622
E01000363,464
E01000364,202
E01000365,674
E01000366,559
E01000367,233
E01000368,108
E01000369,242
E01000370,339
E01000371,157
E01000372,237
E01000373,113
E01000374,1151
E01000375,926
E01000376,240
E01000377,409
E01000378,3014
E01000379,155
E01000380,830
E01000381,441
E01000382,354
E01000383,268
E01000384,291
E01000385,3094
E01000386,742
E01000387,162
E01000388,538
E01000389,337
E01000390,140
E01000391,201
E01000392,1270
E01000393,455
E01000394,532
E01000395,699
E01000396,150
E01000398,121
E01000399,227
E01000400,301
E01000401,431
E01000402,209
E01000403,1759
E01000404,417
E01000405,1202
E01000406,354
E01000407,458
E01000408,1561
E01000409,158
E01000410,382
E01000411,134
E01000412,286
E01000413,282
E01000414,986
E01000415,153
E01000416,236
E01000417,180
E01000418,175
E01000419,220
E01000420,310
E01000421,167
E01000422,139
E01000423,172
E01000424,425
E01000425,368
E01000426,487
E01000427,335
E01000428,2286
E01000429,368
E01000430,1258
E01000431,135
E01000432,702
E01000433,259
E01000434,674
E01000435,146
E01000436,248
E01000437,190
E01000438,251
E01000439,753
E01000440,209
E01000441,615
E01000442,158
E01000443,132
E01000444,235
E01000445,277
E01000446,347
E01000447,1219
E01000448,270
E01000449,186
E01000450,178
E01000451,238
E01000452,138
E01000453,272
E01000454,165
E01000455,410
E01000456,130
E01000457,2041
E01000458,191
E01000459,603
E01000460,439
E01000461,240
E01000462,2808
E01000463,112
E01000464,167
E01000465,604
E01000466,2142
E01000467,198
E01000468,325
E01000469,209
E01000470,305
E01000471,178
E01000472,1756
E01000473,716
E01000474,209
E01000475,1387
E01000476,456
E01000477,1907
E01000478,496
E01000479,246
E01000480,264
E01000481,775
E01000482,1480
E01000483,261
E01000484,624
E01000485,268
E01000486,234
E01000487,471
E01000488,222
E01000489,553
E01000490,276
E01000491,475
E01000492,304
E01000493,239
E01000494,302
E01000495,282
E01000497,1807
E01000498,580
E01000499,2169
E01000501,207
E01000502,428
E01000503,344
E01000504,250
E01000505,281
E01000506,1661
E01000507,207
E01000508,1081
E01000509,218
E01000510,534
E01000511,342
E01000512,310
E01000513,371
E01000514,382
E01000515,567
E01000516,1492
E01000517,399
E01000518,736
E01000519,372
E01000520,308
E01000521,432
E01000522,403
E01000523,546
E01000524,741
E01000525,582
E01000526,353
E01000527,352
E01000528,180
E01000530,316
E01000531,456
E01000532,307
E01000533,720
E01000534,281
E01000535,424
E01000536,535
E01000538,467
E01000539,196
E01000540,234
E01000541,494
E01000543,399
E01000544,532
E01000545,956
E01000546,363
E01000547,259
E01000548,864
E01000549,314
E01000550,527
E01000551,384
E01000552,226
E01000553,538
E01000554,636
E01000555,256
E01000556,617
E01000557,334
E01000558,340
E01000559,308
E01000560,278
E01000561,276
E01000562,228
E01000563,281
E01000564,525
E01000565,195
E01000566,181
E01000567,202
E01000568,5472
E01000569,248
E01000570,172
E01000571,407
E01000572,186
E01000573,335
E01000574,229
E01000575,649
E01000576,336
E01000577,1373
E01000578,896
E01000579,286
E01000580,1707
E01000581,416
E01000582,412
E01000583,1248
E01000584,245
E01000585,323
E01000586,937
E01000587,692
E01000588,1069
E01000589,938
E01000590,597
E01000591,800
E01000592,318
E01000593,270
E01000594,738
E01000595,262
E01000596,461
E01000599,163
E01000600,11026
E01000601,2493
E01000602,176
E01000603,194
E01000604,137
E01000605,118
E01000606,220
E01000607,229
E01000608,831
E01000609,266
E01000610,282
E01000611,135
E01000612,838
E01000613,226
E01000615,4097
E01000616,530
E01000617,298
E01000618,164
E01000619,364
E01000620,1157
E01000621,405
E01000622,283
E01000623,271
E01000624,292
E01000625,328
E01000626,282
E01000627,461
E01000628,687
E01000629,353
E01000630,571
E01000631,888
E01000632,831
E01000633,875
E01000634,454
E01000635,1280
E01000636,1791
E01000637,202
E01000638,620
E01000639,331
E01000640,1037
E01000641,429
E01000642,1024
E01000643,1037
E01000644,482
E01000645,477
E01000646,458
E01000647,540
E01000648,1415
E01000649,353
E01000650,220
E01000651,387
E01000652,474
E01000653,405
E01000654,210
E01000655,197
E01000656,431
E01000657,448
E01000658,960
E01000659,255
E01000661,914
E01000662,402
E01000663,201
E01000664,314
E01000665,1128
E01000666,892
E01000667,248
E01000668,820
E01000669,346
E01000670,2578
E01000671,850
E01000672,316
E01000673,235
E01000674,903
E01000675,9754
E01000676,3237
E01000677,1705
E01000678,1194
E01000679,641
E01000680,844
E01000681,162
E01000682,237
E01000683,442
E01000684,258
E01000685,387
E01000686,716
E01000687,715
E01000688,204
E01000689,331
E01000690,210
E01000691,238
E01000692,985
E01000693,1180
E01000694,314
E01000695,344
E01000696,713
E01000697,311
E01000698,197
E01000699,252
E01000700,241
E01000701,237
E01000702,514
E01000703,480
E01000704,325
E01000705,170
E01000706,209
E01000707,272
E01000708,374
E01000709,1233
E01000710,382
E01000711,300
E01000712,476
E01000713,413
E01000714,2007
E01000715,412
E01000716,279
E01000717,345
E01000718,203
E01000719,1112
E01000720,409
E01000721,213
E01000722,2141
E01000723,131
E01000724,136
E01000725,505
E01000726,175
E01000727,765
E01000728,1489
E01000729,250
E01000730,985
E01000731,155
E01000732,174
E01000733,268
E01000734,126
E01000735,455
E01000736,157
E01000737,261
E01000738,1226
E01000739,154
E01000740,587
E01000741,189
E01000742,258
E01000743,544
E01000744,196
E01000745,653
E01000746,369
E01000747,771
E01000748,718
E01000749,401
E01000750,513
E01000751,3307
E01000752,374
E01000753,175
E01000754,475
E01000755,170
E01000756,810
E01000757,448
E01000758,191
E01000759,407
E01000760,619
E01000761,212
E01000762,378
E01000763,178
E01000764,305
E01000765,1124
E01000766,228
E01000767,292
E01000768,436
E01000769,1367
E01000770,710
E01000771,630
E01000772,192
E01000773,136
E01000774,398
E01000775,956
E01000777,331
E01000778,254
E01000779,544
E01000780,167
E01000781,138
E01000782,290
E01000783,120
E01000784,149
E01000785,156
E01000786,275
E01000787,200
E01000788,435
E01000789,90
E01000790,4082
E01000791,171
E01000792,440
E01000793,145
E01000794,378
E01000795,143
E01000796,180
E01000797,539
E01000798,328
E01000799,1123
E01000800,607
E01000801,488
E01000802,310
E01000803,415
E01000804,1412
E01000805,256
E01000806,487
E01000807,1028
E01000808,171
E01000809,288
E01000810,168
E01000811,140
E01000812,327
E01000813,513
E01000814,207
E01000815,185
E01000816,138
E01000818,241
E01000819,479
E01000820,477
E01000822,345
E01000823,280
E01000824,672
E01000825,417
E01000826,197
E01000827,275
E01000828,197
E01000829,285
E01000830,231
E01000831,340
E01000832,309
E01000833,207
E01000834,178
E01000835,1463
E01000836,125
E01000837,321
E01000838,435
E01000839,168
E01000840,212
E01000841,670
E01000842,334
E01000843,321
E01000844,659
E01000845,532
